Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00747228360056373,0.00301623445314325,0.288626855226577,0,0,0,3.24681831949828,0.0146735025334909,1.2448165048297E-07,5.35276714585173E-05,0.0134884464263371,9.45500929826918E-07,0.00668118337534662,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/base_link.STL,,Base^lemelon_main-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_1,-0.017115837341029,2.6124501589786E-09,-1.63680612071115E-07,0,0,0,0.174935354837447,7.70482115366726E-05,5.72163718585029E-11,9.6431100912108E-13,4.04951562776479E-05,-3.60754621944162E-11,4.04972646379577E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wheel_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wheel_1.STL,,wheel_1-1,Origin_wheel_1,Axis_wheel_1,wheel_1,continuous,0.071279,0.12692,-0.047445,0,0,1.0472,base_link,1,0,0,0,0,0,0,,,,,,,,
wheel_2,-0.0171161886893961,-2.13046352712243E-08,1.42601544801668E-07,0,0,0,0.174933621774301,7.70469922275197E-05,-6.261873697111E-11,3.09411591475657E-12,4.04954789931467E-05,-2.97354177450563E-10,4.04957314381642E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wheel_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wheel_2.STL,,wheel_2-1,Origin_wheel_2,Axis_wheel_2,wheel_2,continuous,0.073204,-0.12704,-0.047445,0,0,-1.0472,base_link,1,0,0,0,0,0,0,,,,,,,,
wheel_3,-0.0171160963849769,-1.49657735206213E-11,1.59898067009223E-11,0,0,0,0.174927105102737,7.70424431289627E-05,-2.34557227953173E-15,5.36652093337851E-15,4.04927593402229E-05,-5.47022273635208E-10,4.04939630858035E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wheel_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wheel_3.STL,,wheel_3-1,Origin_wheel_3,Axis_wheel_3,wheel_3,continuous,-0.14663,0.00012499,-0.047445,0,0,3.1416,base_link,1,0,0,0,0,0,0,,,,,,,,
shoulder_left,0.0313012186792611,-1.10479852627465E-05,0.0295782009466995,0,0,0,0.153991122691971,7.94526143677268E-05,-8.82844628419604E-08,-6.50616040574496E-06,8.06782545089724E-05,6.44935862285553E-07,4.35835688997889E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/shoulder_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/shoulder_left.STL,,shoulder^SO_5DOF_ARM100_Assembly(2)-2,Origin_shoulder_left,Axis_shoulder_left,shoulder_left,revolute,0.023058,0.16,0.65345,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
lower_left,-0.0662852259130058,6.33460310954514E-05,-0.0120865718044851,0,0,0,0.21613392199361,0.0001064603371078,-1.4318971458068E-06,-4.53380820803741E-05,0.00023422069834707,-3.58349306480364E-07,0.000290303708351338,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/lower_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/lower_left.STL,,lower_arm^SO_5DOF_ARM100_Assembly(2)-2,Origin_lower_left,Axis_lower_left,lower_left,revolute,0.0306,1.1804E-05,0.07555,0,0,0.0036537,shoulder_left,0,1,0,0,0,0,0,,,,,,,,
upper_left,0.0734307532807643,0.00143231129714808,0.00186253081750221,0,0,0,0.195627098272173,7.0177877227067E-05,-1.66724184538949E-05,1.23254403547165E-06,0.00014643775237229,7.15469467619917E-08,0.00019334249914215,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/upper_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/upper_left.STL,,upper_arm^SO_5DOF_ARM100_Assembly(2)-2,Origin_upper_left,Axis_upper_left,upper_left,revolute,-0.11595,-0.005,0.0034053,0,-0.21443,0,lower_left,0,1,0,0,0,0,0,,,,,,,,
wrist_left,0.0251485426385852,-0.00362092685504439,-0.0226070274496974,0,0,0,0.0802114779271519,3.74016752447466E-05,8.56725135533968E-07,7.37244999191851E-06,2.60162553922121E-05,-7.57811698290783E-07,3.91172064305651E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wrist_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wrist_left.STL,,wrist^SO_5DOF_ARM100_Assembly(2)-2,Origin_wrist_left,Axis_wrist_left,wrist_left,revolute,0.13484,0.00085,0.0066097,0,-0.010452,0,upper_left,0,1,0,0,0,0,0,,,,,,,,
gripper_left,0.0443935294960646,-0.007107512677379,-0.00070736349634859,0,0,0,0.117795605903817,3.95643828629785E-05,1.00783716952602E-05,1.23656358505046E-07,5.95600880947112E-05,5.38225235243543E-07,6.82817629523028E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/gripper_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/gripper_left.STL,,gripper^SO_5DOF_ARM100_Assembly(2)-2,Origin_gripper_left,Axis_gripper_left,gripper_left,revolute,0.032866,0.00405,-0.029495,0,0.7314,0,wrist_left,-1,0,0,0,0,0,0,,,,,,,,
jaw_left,0.0298375115423077,-0.00602721974460063,0.000384356053883872,0,0,0,0.028705119938167,4.74813000480841E-06,2.36796990212688E-06,2.6813576494307E-07,1.5230354344859E-05,-5.45361267756995E-08,1.2731376118767E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/jaw_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/jaw_left.STL,,jaw^SO_5DOF_ARM100_Assembly(2)-2,Origin_jaw_left,Axis_jaw_left,jaw_left,revolute,0.04034,0.020186,0.00075023,0.032198,0,0,gripper_left,0,0,-1,0,0,0,0,,,,,,,,
wrist_camera_left,0.0072757921701406,-0.0239275616873812,0.0354806829339677,0,0,0,0.0180074239956396,9.66707096365207E-06,-1.30011541939717E-08,-1.99089674836838E-06,7.26464170682642E-06,-6.42630012241064E-08,4.41420192536685E-06,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wrist_camera_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wrist_camera_left.STL,,wrist_camera^SO_5DOF_ARM100_Assembly(2)-2,Origin_wrist_camera_left,,wrist_camera_left,fixed,0.03994,0.022383,0.025734,0.032198,0,0,gripper_left,0,0,0,,,,,,,,,,,,
shoulder_right,0.0312997408115732,-0.000304388109450299,0.0295782004523502,0,0,0,0.153991122987668,7.94510666199661E-05,-7.67827423633458E-08,-6.49983126416184E-06,8.06798007802475E-05,7.05880438407231E-07,4.35835683461722E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/shoulder_right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/shoulder_right.STL,,shoulder^SO_5DOF_ARM100_Assembly(2)-1,Origin_shoulder_right,Axis_shoulder_right,shoulder_right,revolute,0.023058,-0.15992,0.65345,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
lower_right,-0.0662995937960287,6.33446293311635E-05,-0.0120075075897417,0,0,0,0.216133921226184,0.000106352452868981,-1.43232681272835E-06,-4.51186914175409E-05,0.000234220697223063,-3.56644337579554E-07,0.000290411590977032,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/lower_right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/lower_right.STL,,lower_arm^SO_5DOF_ARM100_Assembly(2)-1,Origin_lower_right,Axis_lower_right,lower_right,continuous,0.030599,-0.00027497,0.07555,0,0,-0.005718,shoulder_right,0,1,0,,,,,,,,,,,,
upper_right,0.0734461133839745,0.00143231086383946,0.00110143372882976,0,0,0,0.195627091930103,7.02166486508588E-05,-1.66707838620402E-05,2.50862196341431E-06,0.000146437745289499,2.44327182163383E-07,0.000193303716953737,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/upper_right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/upper_right.STL,,upper_arm^SO_5DOF_ARM100_Assembly(2)-1,Origin_upper_right,Axis_upper_right,upper_right,revolute,-0.11595,-0.005,0.0035436,0,-0.21323,0,lower_right,0,1,0,0,0,0,0,,,,,,,,
wrist_right,0.0243557743798538,-0.00362091365025932,-0.0234589602262436,0,0,0,0.080211508750073,3.79107792778598E-05,8.30134265443781E-07,7.41398442652885E-06,2.60162466277929E-05,-7.86851365984173E-07,3.86081399409834E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wrist_right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wrist_right.STL,,wrist^SO_5DOF_ARM100_Assembly(2)-1,Origin_wrist_right,Axis_wrist_right,wrist_right,revolute,0.1349,0.00085,0.0052119,0,-8.8548E-05,0,upper_right,0,1,0,0,0,0,0,,,,,,,,
gripper_right,0.0443935234826054,-0.00711090124057329,-0.000672433861340638,0,0,0,0.11779560433178,3.95643863391347E-05,1.00788507317706E-05,7.41375220110006E-08,5.95655330444833E-05,5.81054220666724E-07,6.82762091556857E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/gripper_right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/gripper_right.STL,,gripper^SO_5DOF_ARM100_Assembly(2)-1,Origin_gripper_right,Axis_gripper_right,gripper_right,revolute,0.031831,0.00405,-0.030609,0,0.76582,0,wrist_right,-1,0,0,0,0,0,0,,,,,,,,
jaw_right,0.029893521288322,-0.0057430391304344,0.000384353363049761,0,0,0,0.0287051286070396,4.70401880366198E-06,2.2678081661005E-06,2.68645875123366E-07,1.52744755316981E-05,-5.198325473706E-08,1.27313860961258E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/jaw_right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/jaw_right.STL,,jaw^SO_5DOF_ARM100_Assembly(2)-1,Origin_jaw_right,Axis_jaw_right,jaw_right,revolute,0.04034,0.02019,0.00065104,0.027285,0,0,gripper_right,0,0,-1,0,0,0,0,,,,,,,,
wirst_camera_right,0.00727579577775678,-0.0239275601112472,0.0354806891705587,0,0,0,0.0180074294526777,9.66707104843497E-06,-1.3001533807172E-08,-1.99089665155502E-06,7.26464116829765E-06,-6.42634944997405E-08,4.41420266695792E-06,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wirst_camera_right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/wirst_camera_right.STL,,wrist_camera^SO_5DOF_ARM100_Assembly(2)-1,Origin_wirst_camera_right,,wirst_camera_right,fixed,0.03994,0.022509,0.025624,0.027285,0,0,gripper_right,0,0,0,,,,,,,,,,,,
mast_camera,-0.00944770298918579,0.0151554834415628,-0.0243002394395457,0,0,0,0.0616239500944943,1.88058846166817E-05,3.11696136521938E-07,-6.48414236613127E-08,1.10235289299561E-05,1.60946377261097E-07,1.59183858916917E-05,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/mast_camera.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lemelon_main_URDF_2/meshes/mast_camera.STL,,web_cam_extrusion_mount-1,Origin_mast_camera,Axis_mast_camera,mast_camera,fixed,-0.038424,-0.015,0.90929,0,0.48788,0,base_link,0,0,0,,,,,,,,,,,,
